HID	PA
3835	1
3836	1
3837	1
3841	1
3842	1
3843	1
3844	1
3847	1
3848	1
3855	1
3856	1
3857	1
3860	1
3861	0
3862	0
3863	0
3864	0
3865	0
3866	0
3867	0
3870	0
3871	0
3872	0
3873	0
3874	0
3875	1
3876	1
3877	1
3912	0
3913	0
3914	0
3915	0
3916	1
3917	1
3918	1
3919	1
3920	1
3923	1
3924	1
3925	1
3926	1
3928	1
3929	1
3930	1
3934	1
3937	1
3938	1
3942	0
3943	0
3944	0
3945	0
3946	0
3947	0
3948	0
3949	0
3952	0
3953	0
3954	0
3955	0
3956	0
3957	1
3958	1
3959	1
3993	0
3994	0
3995	0
3996	0
3997	1
3998	1
3999	1
4000	1
4003	1
4004	1
4005	1
4006	1
4009	1
4010	1
4011	1
4012	1
4013	1
4017	1
4018	1
4022	1
4023	0
4024	0
4025	0
4026	0
4027	0
4028	0
4029	0
4030	0
4032	0
4033	0
4034	0
4035	0
4036	0
4037	0
4038	1
4039	0
4074	0
4075	0
4076	0
4077	0
4078	0
4079	1
4080	1
4081	1
4082	1
4085	1
4087	1
4088	1
4092	1
4094	1
4095	1
4096	1
4098	1
4099	1
4100	1
4103	1
4104	0
4105	0
4106	0
4107	0
4108	0
4109	0
4110	0
4111	0
4112	0
4114	0
4115	0
4116	0
4117	0
4118	0
4119	1
4120	0
4156	0
4157	0
4158	0
4159	0
4160	1
4161	1
4162	1
4163	1
4168	1
4169	1
4176	1
4178	1
4179	1
4180	1
4181	1
4182	1
4185	1
4186	0
4188	0
4189	0
4190	0
4191	0
4192	0
4193	0
4196	0
4197	0
4198	0
4199	0
4200	0
4201	0
4202	0
4237	0
4238	0
4239	0
4240	0
4241	1
4242	1
4243	1
4244	1
4248	1
4249	1
4250	1
4256	1
4259	1
4261	1
4262	1
4266	0
4269	0
4270	0
4271	0
4272	0
4273	0
4274	0
4277	0
4278	0
4279	0
4280	0
4281	0
4282	0
4318	0
4319	0
4320	0
4321	0
4322	0
4323	1
4324	1
4325	1
4326	1
4330	1
4331	1
4332	1
4338	1
4340	1
4351	0
